tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
838,14:31.0,28:29.9,3195,Sip Ave,40.7308971,-74.06391263,3195,Sip Ave,40.7308971,-74.06391263,42149,Subscriber,1969,1
692,15:57.2,27:29.4,3212,Christ Hospital,40.73478582,-74.05044364,3195,Sip Ave,40.7308971,-74.06391263,42197,Subscriber,1971,2
481,17:39.8,25:41.1,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42417,Subscriber,1994,1
697,19:36.5,31:13.7,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42496,Subscriber,1994,1
424,22:30.0,29:34.2,3202,Newport PATH,40.7272235,-74.0337589,3185,City Hall,40.7177325,-74.043845,42333,Subscriber,1993,1
239,34:33.2,38:32.5,3272,Jersey & 3rd,40.72333159,-74.04595256,3185,City Hall,40.7177325,-74.043845,42629,Subscriber,1987,2
941,48:38.3,04:19.5,3195,Sip Ave,40.7308971,-74.06391263,3192,Liberty Light Rail,40.7112423,-74.0557013,42167,Customer,1993,1
439,48:55.7,56:15.4,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,42172,Subscriber,1973,1
1116,58:41.8,17:18.0,3195,Sip Ave,40.7308971,-74.06391263,3196,Riverview Park,40.7443187,-74.0439909,42192,Subscriber,1964,1
512,02:12.0,10:44.8,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3207,Oakland Ave,40.7376037,-74.0524783,42199,Subscriber,1982,1
308,02:38.3,07:47.2,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,42197,Subscriber,1986,1
1424,04:34.8,28:19.6,3203,Hamilton Park,40.72759597,-74.04424731,3278,Monmouth and 6th,40.72568548,-74.04879034,42309,Subscriber,1974,2
