tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
672,04:29.0,15:41.3,3681,Grand St,40.71517768,-74.03768331,3199,Newport Pkwy,40.7287448,-74.0321082,42165,Subscriber,1956,1
648,04:46.1,15:34.8,3681,Grand St,40.71517768,-74.03768331,3199,Newport Pkwy,40.7287448,-74.0321082,42318,Subscriber,1957,1
922,06:05.7,21:28.1,3281,Leonard Gordon Park,40.74590997,-74.05727148,3281,Leonard Gordon Park,40.74590997,-74.05727148,42580,Subscriber,1994,1
386,08:16.0,14:42.3,3186,Grove St PATH,40.71958612,-74.04311746,3272,Jersey & 3rd,40.72333159,-74.04595256,42316,Subscriber,1952,1
2400,08:26.2,48:26.8,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42408,Subscriber,1978,1
532,09:47.8,18:40.7,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42135,Subscriber,1988,1
990,10:22.4,26:52.5,3694,Jackson Square,40.71113,-74.0789,3275,Columbus Drive,40.7183552,-74.03891444,42536,Subscriber,1988,1
191,12:10.0,15:21.3,3211,Newark Ave,40.72152515,-74.04630454,3205,JC Medical Center,40.71653978,-74.04963791,42346,Subscriber,1956,1
1111,17:11.6,35:43.4,3269,Brunswick & 6th,40.72601173,-74.05038893,3214,Essex Light Rail,40.7127742,-74.0364857,42272,Customer,1988,2
1257,17:18.9,38:15.9,3195,Sip Ave,40.7308971,-74.06391263,3280,Astor Place,40.7192822,-74.07126188,42439,Subscriber,1990,1
1002,18:29.8,35:12.8,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3220,5 Corners Library,40.73496102,-74.05950308,42283,Subscriber,1986,1
1374,18:36.9,41:31.3,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42208,Subscriber,1968,1
1144,20:56.2,40:00.6,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42482,Subscriber,1970,1
3086,21:31.4,12:57.8,3205,JC Medical Center,40.71653978,-74.04963791,3213,Van Vorst Park,40.71848892,-74.04772663,42108,Customer,1980,2
1013,24:20.4,41:13.7,3211,Newark Ave,40.72152515,-74.04630454,3268,Lafayette Park,40.71346383,-74.06285852,42375,Subscriber,1989,2
831,27:58.8,41:50.5,3193,Lincoln Park,40.7246051,-74.07840595,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42154,Subscriber,1972,1
2524,28:50.6,10:55.2,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42109,Subscriber,1990,1
1504,31:08.8,56:13.4,3192,Liberty Light Rail,40.7112423,-74.0557013,3207,Oakland Ave,40.7376037,-74.0524783,42485,Customer,1989,2
1120,35:18.6,53:58.9,3267,Morris Canal,40.71241882,-74.03852552,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42519,Customer,1991,2
1360,36:22.8,59:03.1,3214,Essex Light Rail,40.7127742,-74.0364857,3203,Hamilton Park,40.72759597,-74.04424731,42472,Customer,1988,2
2348,38:38.7,17:47.1,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,42309,Subscriber,1991,1
829,42:34.2,56:24.0,3280,Astor Place,40.7192822,-74.07126188,3211,Newark Ave,40.72152515,-74.04630454,42439,Subscriber,1960,1
191,45:03.3,48:14.4,3272,Jersey & 3rd,40.72333159,-74.04595256,3279,Dixon Mills,40.72163014,-74.04996783,42324,Subscriber,1976,1
962,49:17.7,05:20.3,3694,Jackson Square,40.71113,-74.0789,3186,Grove St PATH,40.71958612,-74.04311746,42362,Customer,1969,0
2174,55:14.2,31:29.0,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,25963,Customer,1992,2
8125,55:35.4,11:00.5,3272,Jersey & 3rd,40.72333159,-74.04595256,3272,Jersey & 3rd,40.72333159,-74.04595256,42496,Customer,1969,0
725,55:36.8,07:42.1,3184,Paulus Hook,40.7141454,-74.0335519,3192,Liberty Light Rail,40.7112423,-74.0557013,42126,Customer,1995,1
8130,55:49.9,11:20.4,3272,Jersey & 3rd,40.72333159,-74.04595256,3272,Jersey & 3rd,40.72333159,-74.04595256,42399,Customer,1969,0
1947,56:59.9,29:27.0,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,42337,Customer,1969,0
992,59:36.6,16:09.1,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42280,Subscriber,1994,1
1642,59:53.1,27:15.2,3211,Newark Ave,40.72152515,-74.04630454,3681,Grand St,40.71517768,-74.03768331,42424,Subscriber,1986,1
